Month;Year;Phytoplankton ;Diatoms ;Chl Total ;TOC;Turbidity ;SiO2;NO3;NO2;NH4;P2O5;N Kj. 
;;unit/ml;(cell/ml);(µg/L); (mg C/L);UNF;mg SiO2/L;mg NO3-/L;mg NO2-/L;mg NH4/L;mg P2O5/L;(mg N/L)
1;1989;;;;3,741787879;;6,44;15,60952381;0,294285714;0,21047619;;
2;1989;;;;1,425;;2,625;16,02105263;0,329473684;0,148421053;;
3;1989;;;;2,98;;3,825;15,5952381;0,44;0,192857143;;
4;1989;;;;2,92;;3,9;12,26;0,408;0,14;;
5;1989;;;;2,938174603;;4,32;14,95;0,322;0,198;;
6;1989;;;;3,207331217;;3,243333333;12,43333333;0,2;0,145;;
7;1989;;;;3,232111111;;3,2;11,1;0,0775;0,3;;
8;1989;;;;3,3;;;10,78;;0,037368421;;1,7
9;1989;;;;3,136842105;;;9,775;;0,022631579;;
10;1989;;;;3,146666667;;;9,18;;0,046;;
11;1989;;;;2,994444444;;;11,45;;0,059047619;;0,79
12;1989;;;;2,988888889;;;15,225;;0,062941176;;
1;1990;;;9,585;2,351818182;;;11,18;0,13;0,07;0,51;0,502857143
2;1990;;;33,09538462;3,79;;;13,225;;0,124117647;0,63;0,75
3;1990;;;49,77470588;3,254545455;;;10,4;;0,070454545;0,24;0,448571429
4;1990;;;36,516;2,989473684;;;9,9;;0,048421053;0,6;0,636923077
5;1990;;;43,86666667;4,114285714;;;11,8;;0,067272727;0,44;0,8
6;1990;;;49,497;3,161873016;;;12,525;;0,1335;0,7;0,116666667
7;1990;;;71,59615385;3,187916667;;;10,26;;0,061904762;0,25;0,637272727
8;1990;;;39,83125;3,468809524;;6,5;7,75;0,23;0,059545455;0,81;0,46
9;1990;;;76,75846154;4,12;;3,8;6,925;0,088156344;0,040526316;0,98;0,56
10;1990;;;37,85384615;4,240909091;;4,398461538;9,32;0,17;0,043636364;1,31;0,35
11;1990;;;27,46666667;3,527272727;;3,985;11,175;0,063615385;0,033809524;0,61;0,19
12;1990;;;17,11111111;5,1;;3,993472222;11,6;0,096549451;0,045294118;0,94;0,34
1;1991;;;10,09333333;3,7;;1,35;13,175;0,11;0,072727273;0,46;0,3
2;1991;;;26,10833333;4;;1,55;12,025;0,13;0,14;0,41;0,66
3;1991;;;35,10909091;5,378571429;;1,65;10,15;0,1125;0,1265;0,14;0,51
4;1991;;;19,69090909;3,7;;2,3;11,48;0,1;0,086666667;0,32;0,33
5;1991;;;16,7375;4,4;;3,24;14,475;0,12;0,142272727;0,36;0,16
6;1991;;;32,46;4,371428571;;1,95;11,625;0,075;0,058333333;0,38;0,34
7;1991;;;44,98;5,14375;;2,34;9,7;0,06;0,060454545;0,25;0,36
8;1991;;;44,77142857;5,2;;1,625;9,25;0,07;0,064285714;0,22;0,28
9;1991;;;28,9875;3,383333333;;1,88;8,1;0,122;0,096315789;0,44;0,33
10;1991;;;21,15555556;2,7;;2,775;11,925;0,1125;0,124782609;0,74;0,3
11;1991;;;10,6125;2,3;;2,1;14,225;0,08;0,118;0,28;1,38
12;1991;;;8,928571429;3;;3,1;12,82;0,11;0,122777778;0,17;0,36
1;1992;;;14,22857143;4,5;;3,766666667;13,45;0,093333333;0,102857143;0,3;0,65
2;1992;;;48,6875;4,8;;2,266666667;15,5;0,093333333;0,1;0,43;0,46
3;1992;;;31,26666667;4,3;;1,05;15,76;0,124;0,133333333;0,45;0,41
4;1992;;;38,65714286;5,5;;1,375;17,05;0,1225;0,129;0,17;0,92
5;1992;;;43,52857143;4,8;;2,075;14,975;0,135;0,104761905;0,19;0,43
6;1992;;;52,375;4,8;;3,64;10,94;0,088;0,097894737;0,31;0,15
7;1992;;;36,65;4,6;;1,45;9,7;0,0525;0,1;0,29;0,637272727
8;1992;;;54,61111111;4,5;;1,75;10,7;0,07;0,1;0,345;0,39
9;1992;;;31,35714286;4,8;;3,44;9,8;0,072;0,1;0,433;0,59
10;1992;;;12,7125;4,5;;4,95;11,6;0,1625;0,1;0,3;0,42
11;1992;;;5,366666667;4;;4,325;11,375;0,0825;0,1;0,201;0,66
12;1992;;;9,971428571;4,1;;3,88;13,02;0,088;0,1;0,297;0,53
1;1993;;;4,85;4,3;;3;11,15;0,0825;0,1;0,437;0,3
2;1993;;;34,15;6,5;;2,525;14,425;0,0775;0,1;0,3;0,44
3;1993;;;104,68;6,1;;1,28;14,2;0,13;0,1;0,061;0,42
4;1993;;;41,15;4,633333333;;1,525;13,75;0,12;0,1;0,17;0,23
5;1993;;;30,94;3;;2,08;13,24;0,126;0,1;0,24;0,26
6;1993;;;34,75;3,8;;1,25;10,475;0,045;0,1;0,31;0,81
7;1993;;;35,05;3,6;;1,15;10,15;0,075;0,1;0,42;1,02
8;1993;;;43,62;3,2;;1,44;8,98;0,078;0,1;0,047;0,48
9;1993;;;23,075;4,35;;3,025;10,225;0,1125;0,127272727;0,22;0,5
10;1993;;;9,68;4,4;;3,275;11,775;0,1025;0,131578947;0,678;0,47
11;1993;;;6,04;4,6;;2,58;11,34;0,062;0,1;0,242;0,23
12;1993;;;4,625;3,8;;3,3;13,225;0,2175;0,1;0,31;0,45
1;1994;;;4,5;4,1;14,84290323;3,81;12,34;0,098;0,115;0,17;0,65
2;1994;;;7,075;5,7;21,00892857;3,25;10,275;0,11;0,116;0,24;0,49
3;1994;;;9,875;4,533333333;16,87548387;2,6;11,025;0,09;0,095652174;0,23;0,14
4;1994;;;28,65;3,78;10,091;2,225;10,475;0,09;0,055263158;0,19;0,43
5;1994;;;25,825;3,3;12,58890323;1,7;10,82;0,064;0,049047619;0,16;0,72
6;1994;;;35,2;3,6;11,08233333;1,725;7,95;0,0325;0,053809524;0,07;1,44
7;1994;;;27,925;2,3;7,491935484;2,25;7,725;0,036666667;0,074;0,3;1,01
8;1994;;;47,34;6,883333333;6,547419355;2,24;6,72;0,062;0,05;0,1;0,7
9;1994;;;44,3;5,9;6,304333333;1,9;3,875;0,085;0,053333333;0,3;0,6
10;1994;;;9,175;7,8;28,08448276;4,78;13,5;0,124;0,067894737;0,4;0,65
11;1994;;;10,66666667;6,15;31,68033333;4,725;13,475;0,1175;0,1285;0,43;1,27
12;1994;;;9,5;5,9;8,336774194;5,9;14,75;0,0775;0,04;0,31;1,01
1;1995;;;3,28;7,9;;;14;;0,09;0,2;0,98
2;1995;;;19,725;5,7;;;13,1;;0,14;0,26;0,6
3;1995;;;18,975;10,4;;;8,5;;0,07;0,2;0,59
4;1995;;;21,75;3,2;;;9,4;;0,04;0,25;0,52
5;1995;;;62,94;3,2;;;10,8;;0,04;0,41;1,8
6;1995;;;7,55;3,4;;;8,3;;0,04;0,26;1,1
7;1995;;;59,26;3,4;;;9,2;;0,04;0,64;0,637272727
8;1995;;;69,575;3,1;;;6,7;;0,03;0,33;1,9
9;1995;;;28,35;3,5;;;7,2;;0,03;0,34;2,8
10;1995;;;9,26;3,7;;;4,3;;0,03;0,37;1,8
11;1995;;;2,225;3,3;;;8,5;;0,03;0,6;1,2
12;1995;;;3,025;3,7;;;10,7;;0,03;0,21;1,2
1;1996;;;2,16;3,4;38,49;4,9;8,55;0,08;0,089545455;0,26;0,78
2;1996;;;2,275;3,4;17,84;6,1;10,95;0,09;0,081;0,15;0,89
3;1996;;;8,675;3,6;9,62;3,4;12;0,11;0,03;0,24;0,47
4;1996;;;20,4;3,4;8,21;3,8;11,45;0,08;0,03;0,13;1,4
5;1996;;;23,025;2,8;13,34;4,2;8,85;0,14;0,030454545;0,18;1,07
6;1996;;;27,95;3,4;13,68;2,9;5,95;0,05;0,03;0,28;1,12
7;1996;;;6,66;2,9;8,6;3,6;7,5;0,02;0,032380952;0,3;0,64
8;1996;;;19,45;3;7,18;3,9;9,2;0,05;0,03;0,3;0,41
9;1996;;;18,46;4,2;8,2;3,4;9,65;0,04;0,03;0,15;0,36
10;1996;;;10,275;3,2;7;2,8;8,4;0,11;0,03;0,27;1,07
11;1996;;;2,7;3;9,22;1,6;11,1;0,03;0,03;0,14;0,2
12;1996;;;5;4,9;24,24;2,6;10,8;0,07;0,048888889;0,12;1,23
1;1997;;;0,775;3,5;50,3283871;5,7;13;0,17;0,041363636;0,23;0,67
2;1997;;;1;3,1;16,9;5,9;12,55;0,12;0,03;0,12;0,82
3;1997;;;12,475;3,6;6,59;4,4;13,35;0,15;0,03;0,13;0,34
4;1997;;;16,24;2,8;7,43;2,6;11,1;0,05;0,03;0,031;1,08
5;1997;;;5,45;3,1;12,38;5,2;11,9;0,04;0,03;0,196;0,45
6;1997;;;15,42;4;12,41;4,3;13,05;0,02;0,03;0,17;0,31
7;1997;;;9,225;3,9;7,49;3,2;14,2;0,05;0,03;0,14;0,76
8;1997;;;20,225;3,9;5,46;2,4;13;0,05;0,03;0,13;0,32
9;1997;;;13,14;3,4;5,41;5;10,7;0,25;0,03;0,09;0,72
10;1997;;;27,875;4,5;6,26;5,7;12,9;0,13;0,03;0,2;0,82
11;1997;;;5,3;4,2;8,93;4,3;15,25;0,02;0,03;0,2;0,5
12;1997;;;1,92;5,6;38,97;4,5;15,3;0,09;0,095;0,04;0,92
1;1998;;;2,2;3,9;12,86387097;6,2;11,25;0,12;0,051;0,13;0,6
2;1998;;;2,975;3,3;5,623928571;6,2;12,15;0,13;0,0305;0,15;0,32
3;1998;;;29,88;2,9;5,080322581;3,5;12;0,06;0,03;0,07;0,5
4;1998;;;28,625;3;5,850333333;2,5;13,2;0,08;0,03;0,14;0,1
5;1998;;;9,8;2,8;9,172258065;2,6;13;0,18;0,03;0,14;0,9
6;1998;;;10,8;2,8;8,569;2,1;8,5;0,04;0,03;0,11;1
7;1998;;;8,3;3,4;5,486129032;2,3;10,25;0,02;0,03;0,11;0,53
8;1998;;;23,32;3,6;3,5;4,3;10,65;0,06;0,03;0,21;0,47
9;1998;;;27,325;4,7;4,109;5;9,55;0,07;0,03;0,22;0,32
10;1998;;;25,65;5,4;4,158709677;3,8;10,15;0,12;0,031904762;0,16;0,25
11;1998;;;8,84;5,8;4,615333333;3,05;12,5;0,06;0,03;0,19;0,37
12;1998;;;4,3;3,840384615;7,692580645;3,973483796;12,8;0,094;0,033333333;0,230192308;0,789230769
1;1999;;;3,75;5,9;6,144193548;3,3;12,8;0,13;0,037894737;0,2;0,5
2;1999;;;14,775;5,5;4,590714286;4,7;13;0,09;0,03;0,18;0,22
3;1999;;;23,8;3,8;5,732258065;3,6;13,2;0,1;0,036956522;0,18;0,7
4;1999;;;74,65;3,1;6,447;2;10,9;0,07;0,0315;0,071;0,7
5;1999;;;14,66;2,7;8,126774194;2,7;9,7;0,07;0,032380952;0,148;0,53
6;1999;;;4,15;3;11,13566667;3,1;12,9;0,04;0,0305;0,15;0,35
7;1999;;;7,875;3,6;5,969354839;4,3;8,9;0,04;0,03;0,15;0,2
8;1999;;;24,02;3,468809524;5,17;4,3;7,7;0,08;0,03;0,7;0,18
9;1999;;;13,8;4,3;5,964333333;4,5;7,8;0,05;0,03;0,38;0,41
10;1999;;;14,725;3,2;6,933870968;4,8;7,2;0,06;0,03;0,12;0,39
11;1999;;;5,72;2,5;8,455666667;6,2;8,9;0,05;0,052380952;0,09;0,13
12;1999;;;2,475;3,5;9,14;4,4;11,9;0,09;0,031428571;0,18;0,49
1;2000;;;0,8;3,05;5,967419355;3,2;13,3;0,11;0,057;0,114;0,19
2;2000;;;28,65;2,1;4,064137931;4,5;14,55;0,08;0,031428571;0,101;0,51
3;2000;;;11,65;2,3;6,575625;2;11,95;0,07;0,03;0,148;0,36
4;2000;;;28,825;2,5;9,756;4;12,5;0,09;0,03;0,171;0,43
5;2000;;;9,88;2,6;17,10677419;2,8;10;0,1;0,03;0,12;0,7
6;2000;;;11,45;2,5;15,20766667;4,9;7,6;0,02;0,03;0,16;0,69
7;2000;;;2,88;2,333333333;5,96516129;5,6;8,25;0,03;0,03;0,21;0,68
8;2000;;;12,625;3,1;7,456451613;4,3;8;0,05;0,03;0,22;0,61
9;2000;;;16,3;3,166666667;7,350333333;5,4;8,5;0,07;0,032857143;0,09;0,61
10;2000;;;8,425;3,64;13,4;4,4;9,15;0,04;0,04125;0,23;0,8
11;2000;;;2,675;2,9;17,27;5;12,7;0,04;0,03;0,16;0,574615385
12;2000;;;3,15;3,1;14,34;4,033333333;11,85;0,086666667;0,034444444;0,1495;1,2
1;2001;;;1,52;3,741787879;13,61666667;5,133333333;9,6;0,095;0,1075;0,141;0,1
2;2001;;;6,45;3,834430014;11,1;5,3;10,075;0,097142857;0,04;0,241;0,32
3;2001;;;8,2;1,9;20,4;5,2;9,15;0,085714286;0,058571429;0,205;0,3
4;2001;;;16,15;2,14;5,901666667;4,066666667;8,125;0,085;0,036666667;0,09;0,3
5;2001;;;13,1;1,925;6,475;3,566666667;8,4;0,0875;0,04;0,164;0,29
6;2001;;;2,375;1,966666667;5,866666667;2,2;6,775;0,063333333;0,04;0,09;0,78
7;2001;;;3,94;2,166666667;4,8075;3,933333333;9,225;0,0775;0,034444444;0,09;0,62
8;2001;;;12,86666667;2,1;3,25;4,566666667;9;0,054;0,038;0,09;0,33
9;2001;;;8,95;3,233333333;4,131428571;4,133333333;7,7;0,095714286;0,045714286;0,09;0,43
10;2001;;;4,125;2,38;4,174285714;4,25;8,433333333;0,085714286;0,034285714;0,106;2,1
11;2001;;;2,575;2,275;3,805714286;3,366666667;9,325;0,084285714;0,035;0,103;0,23
12;2001;;;3,8;2,475;2,532857143;3,4;12,75;0,077142857;0,035;0,115;1,3
1;2002;192;199,5;2,025;2,5;2,766666667;2,1;11,75;0,06;0,04;0,088;0,49
2;2002;1044,75;1008;8,9125;2,433333333;3,3;0,846666667;12;0,06;0,04;0,131;0,35
3;2002;172;141,75;3,8675;2,175;4,533333333;0,92;10,5;0,07;0,04;0,052;0,8
4;2002;380,25;238,25;3,174;2,233333333;2,2;1,4;10,5;0,082;0,04;0,065;0,64
5;2002;106,5;90,25;1,1375;2;1,9;2,566666667;9,125;0,06;0,04;0,076;0,1
6;2002;164,5;129,75;1,366666667;3,8;3,8;3,266666667;10;0,0625;0,04;0,146;0,1
7;2002;361;305;2,56;2,7;1,51;3;9,86;0,056;0,052;0,165;0,68
8;2002;379,6666667;317;2,725;2,233333333;1,513333333;3,833333333;9,25;0,05;0,04;0,08;0,79
9;2002;345,8;265,2;4,7675;2,166666667;1,966666667;4,733333333;8,975;0,06;0,04;0,086;0,49
10;2002;326,75;274,5;2,58;2,26;1,75;5,45;8,58;0,036;0,04;0,086;0,29
11;2002;409;375,75;1,9875;2,075;0,96;4,466666667;9,45;0,075;0,04;0,01;0,35
12;2002;251,75;184;3,33;2,6;4,25;3,875;8,3;0,146;0,04;0,061;0,43
1;2003;122,5;99,25;1,342;2,225;5,9;4,166666667;8,975;0,094210526;0,030952381;0,09;0,41
2;2003;200;176,75;3,2125;2,1;10;5,033333333;9,675;0,104;0,059;0,09;0,46
3;2003;199,25;6;5,5425;9,6;22,65;4,766666667;9,575;0,10047619;0,03;0,09;0,36
4;2003;801,1666667;446,1666667;9,675;1,52;4,125;3,05;7,92;0,104;0,0305;0,09;1,2
5;2003;637;591,5;4,34;1,4;4,333333333;3,3;9,325;0,106190476;0,036190476;0,09;0,33
6;2003;437,2;385,8;2,224;1,86;1,975;2,825;8,02;0,103684211;0,03;0,09;0,49
7;2003;772,5;651;3,9875;2,95;2,215806452;3,866666667;8,4;0,05;0,03;0,09;0,51
8;2003;446,5;315,75;4,6925;2,566666667;2,060322581;4,966666667;7,975;0,165;0,0315;0,09;0,42
9;2003;636,2;523,8;4,606;2,24;1,503333333;5,85;9,72;0,042;0,030952381;0,09;0,39
10;2003;264;230,25;3,1275;2,35;2,565806452;4,7;9,35;0,0475;0,03173913;0,145;0,44
11;2003;224,3333333;188,3333333;1,1525;2,225;16,9962069;4,666666667;10,075;0,05;0,037;0,09;0,76
12;2003;99,25;64;0,758;2,15;10,22366667;4,7;9,22;0,04;0,030588235;0,09;0,8
1;2004;124,5;116,75;1,52;2,325;6,152580645;5,633333333;11,25;0,103;0,0475;0,09;0,42
2;2004;190,25;171,75;2,08;2,025;4,479310345;4,6;11,25;0,099;0,04;0,133;0,38
3;2004;329,6;213,6;8,292;1,966666667;6,681290323;3,8;12;0,1;0,045;0,09;0,38
4;2004;391,6666667;312;6,23;3,084507937;7,471666667;4,3;11,25;0,1045;0,04;;
5;2004;417,6;362,8;2,696;1,933333333;8,454193548;3,375;10;0,114;0,04;;
6;2004;717;643;2,725;1,65;3,700666667;4,033333333;7,333333333;0,1125;0,04;;
7;2004;447,3333333;402;2,4925;2,3;2,310645161;8,433333333;8,666666667;0,108571429;0,04;;
8;2004;455,25;391,5;2,434;2,2;1,752258065;5,375;9;0,077727273;0,0725;;
9;2004;294;258,6666667;1,89;2,175;2,185172414;6;7,666666667;0,076818182;0,04;;
10;2004;145,75;125;1,42;2,625;1,94;5,5;9,666666667;0,071052632;0,04;;
11;2004;385,6;365,8;2,2925;2,6;2,386;5,425;12,25;0,075714286;0,04;;
12;2004;292,3333333;290,6666667;0,903333333;2,3;2,332580645;4,233333333;12;0,068333333;0,04;;
1;2005;661;657;1,11;2,475;2,568387097;4,6;11,5;0,071111111;0,04;;
2;2005;1019;983,5;4,6525;2,725;2,0125;3,433333333;12;0,07;0,04;;
3;2005;686,5;577,5;17,61666667;2,48;3,397419355;2,833333333;13;0,075263158;0,04;;
4;2005;729,3333333;717,3333333;6,68;2,76;3,961333333;2,033333333;12;0,074761905;0,04;;
5;2005;353;334,6;3,885;2,15;3,341290323;2,15;10,25;0,075238095;0,04;;
6;2005;485,3333333;409,3333333;1,1;2,48;3,008;3,3;9;0,07375;0,04;;
7;2005;479,6666667;436,6666667;1,86;2,525;2,997741935;3,5;8;0,058947368;0,04;;
8;2005;479,75;384,75;2,2625;2,98;2,8;5,075;6,75;0,055909091;0,04;;
9;2005;268,3333333;227,3333333;2,196666667;3,05;2,164;4,5;5,666666667;0,055454545;0,04;;
10;2005;391;376;1,22;2,55;3,454193548;3,066666667;6,333333333;0,058571429;0,04;;
11;2005;208,5;203,5;0,83;2,36;3,889;4,05;9;0,059444444;0,04;;
12;2005;371,5;368;1,01;2,125;3,787096774;4,1;10,66666667;0,058125;0,04;;
