month;year;e;hr;evap;inso;n_cub;n_des;n_fog;n_gra;n_llu;n_nie;n_nub;n_tor;nt_00;nt_30;nw_55;nw_91;p_max;p_mes;p_sol;q_mar;q_max;q_med;q_min;w_med;w_rec;np_001;np_010;np_100;np_300;ta_max;ta_min;ti_max;tm_max;tm_mes;tm_min;ts_min;nv_0050;nv_0100;nv_1000;w_racha;indicativo;
1;2014;95;70;837;3,8;7;2;1;1;12;0;22;1;0;0;13;0;36,0(18);45;40;1012,8;1018,8(08);1006,7;987,9(19);10;261;9;6;1;1;20,3(26);3,1(29);12;15,5;11,6;7,7;15,3;0;0;0;29/25,0(04);9981A;19039
2;2014;85;63;926;5,7;3;4;0;0;9;0;21;0;0;0;12;2;5,0(09);15,8;54;1014,2;1021,0(26);1008,2;986,2(10);11;253;8;5;0;0;23,1(13);0,4(03);10,7;17,2;11,7;6,2;11,2;0;0;0;30/28,3(10);9981A;28249
3;2014;98;60;1194;7,4;5;5;1;0;10;0;21;1;0;0;10;2;19,0(30);29,7;62;1017;1022,7(13);1011;991,8(03);12;272;9;5;1;0;27,8(17);3,8(07);15,4;20,5;14,3;8;12,9;0;0;1;31/30,0(25);9981A;48016
4;2014;133;64;1179;8,4;6;1;0;1;6;0;23;4;0;0;5;0;15,6(21);62;63;1013,7;1019,3(08);1007,9;991,6(03);11;244;7;7;4;0;29,4(18);9,0(18);13,3;24,2;18,2;12,2;16,1;0;0;0;29/23,9(04);9981A;58534
5;2014;138;59;1498;8,3;6;3;0;0;10;0;22;4;0;1;5;0;22,6(28);62,6;58;1016;1022,2(14);1010,2;1000,5(21);11;252;8;6;3;0;30,1(10);8,7(23);18,2;25,7;19,5;13,3;16,1;0;0;2;30/20,6(02);9981A;68233
6;2014;179;57;1699;8,6;2;3;0;0;7;0;25;2;0;17;1;0;3,8(24);5,4;57;1015,3;1016,2(11);1009,6;1004,0(14);11;250;3;2;0;0;37,3(13);13,4(03);23,2;30,5;24,3;18,1;21,6;0;0;0;31/15,8(14);9981A;75368
7;2014;189;52;2133;10,1;1;12;0;0;6;0;18;4;0;26;6;0;33,8(03);34,8;69;1014,4;1014,3(03);1008,7;1002,8(19);12;274;3;1;1;1;35,7(22);16,3(04);27,5;32;26,1;20,2;23,4;0;0;0;30/20,3(21);9981A;79936
8;2014;228;66;1386;7,8;7;1;0;0;9;0;23;4;0;25;1;0;47,1(22);58,8;57;1014,6;1016,1(16);1008,9;1000,8(01);11;228;7;5;1;1;36,2(10);17,2(17);23,8;31,7;26,3;20,9;23,8;0;0;0;31/19,2(13);9981A;60140
9;2014;226;74;884;6,8;3;4;2;0;18;0;23;7;0;19;1;0;43,4(28);136;54;1014,6;1019,8(30);1008,8;1000,8(17);9;178;14;10;4;2;36,6(11);13,5(26);21,4;30,1;24,6;19,2;23,1;0;0;0;03/15,3(14);9981A;45976
10;2014;175;72;906;7,5;4;4;5;0;4;0;23;2;0;2;2;1;33,4(10);34,8;67;1017;1020,4(01);1011,1;1000,9(14);8;175;4;2;1;1;31,4(21);12,2(13);20,1;27;21,2;15,3;18,3;0;0;3;30/27,8(22);9981A;39425
11;2014;134;76;633;4,3;8;3;1;0;13;0;19;2;0;0;2;0;29,1(30);119,4;43;1010,3;1018,3(01);1004,4;986,3(28);9;191;12;8;5;0;24,6(01);4,9(11);11,6;19,9;15,4;10,9;16,1;0;0;0;11/15,8(29);9981A;22468
12;2014;87;66;987;6;2;9;0;0;6;0;20;1;0;0;16;0;14,2(14);34,4;65;1021,8;1028,5(30);1015,7;990,4(01);14;348;5;5;1;0;19,3(18);0,6(30);8,8;14,7;10,7;6,6;12;0;0;0;31/23,6(08);9981A;23353
1;2015;81;64;949;6,4;3;12;0;0;6;0;16;0;1;0;11;1;27,4(30);37,2;66;1021,7;1036,5(09);1015,6;981,1(31);11;269;5;3;1;0;21,1(03);-0,7(18);9,4;15,9;10,5;5,1;10,7;0;0;0;29/27,5(29);9981A;26649
2;2015;73;59;1007;6,3;3;5;0;0;8;0;20;0;0;0;14;5;4,2(03);9,6;59;1016,2;1028,2(18);1010,1;990,2(04);16;355;4;3;0;0;21,5(23);0,3(11);6,2;14,5;9,9;5,2;13,6;0;0;0;30/29,7(23);9981A;31360
3;2015;100;62;1310;6,7;9;3;4;0;8;0;19;1;0;0;12;2;42,0(21);114,2;56;1019,5;1026,8(06);1013,5;997,0(25);12;287;7;6;4;1;27,4(31);2,4(17);13,3;19,9;14,6;9,2;17;0;0;3;31/29,2(28);9981A;43770
4;2015;123;64;1126;8,7;5;3;1;1;7;0;22;3;0;0;4;1;31,4(26);41;65;1019,9;1025,9(07);1013,9;997,7(26);10;214;6;2;1;1;28,4(23);4,0(09);17;23,3;16,7;10,1;15,9;0;0;0;28/25,8(27);9981A;61111
5;2015;144;53;1841;10,2;4;12;3;0;2;0;15;0;0;5;8;0;3,8(19);3,8;71;1016,9;1019,9(10);1011,1;1000,3(04);12;272;1;1;0;0;32,3(14);12,3(20);23,6;28,1;21,5;14,8;17,2;0;0;3;31/21,9(14);9981A;78667
6;2015;186;56;1774;10,9;1;14;0;0;8;0;15;5;0;22;1;0;21,4(12);68,7;72;1017;1016,8(03);1011,3;1002,6(12);10;224;7;5;4;0;35,5(27);14,4(05);27,4;31,6;24,7;17,7;22,7;0;0;0;28/16,7(17);9981A;
7;2015;245;60;1850;10,2;3;5;0;0;5;0;23;4;0;29;0;0;39,0(31);46,6;69;1015,4;1017,0(03);1009,8;1001,2(24);12;236;4;4;1;1;38,7(27);18,0(31);25,4;34,8;28,7;22,5;25;0;0;0;30/14,2(27);9981A;
8;2015;226;63;1588;9,1;2;4;0;1;8;0;25;3;0;27;0;0;14,4(31);22,1;66;1015,2;1015,7(20);1009,5;999,4(23);11;230;6;3;1;0;36,8(13);17,5(01);24,4;32,5;26,7;20,8;25,1;0;0;0;30/14,4(24);9981A;
9;2015;173;64;1258;7;6;4;0;0;10;0;20;1;0;6;1;0;18,4(04);36;56;1015,7;1018,4(19);1009,9;995,2(16);9;199;8;5;1;0;34,0(16);13,2(25);20,8;28,3;22,5;16,6;20,7;0;0;0;32/17,5(23);9981A;46988
10;2015;151;70;1082;5,1;9;4;0;0;12;0;18;0;0;1;3;0;6,2(26);11,7;46;1015,6;1019,5(31);1009,8;1000,3(11);9;204;6;3;0;0;31,0(06);8,1(16);17,4;23,8;18,8;13,7;17,2;0;0;0;30/16,9(20);9981A;32683
11;2015;122;70;894;7;2;9;5;0;3;0;19;1;0;0;8;3;53,0(02);56;71;1023,6;1030,4(30);1017,6;999,9(21);12;268;2;2;1;1;25,9(06);4,2(30);12,5;20,2;15,3;10,3;14,4;0;0;3;29/28,3(26);9981A;28612
12;2015;106;77;375;5,2;1;3;6;0;1;0;27;0;0;0;0;0;0,0(--);0;55;1030;1032,1(09);1023,8;1015,2(13);6;153;0;0;0;0;21,8(16);2,7(03);11,7;17;11,9;6,8;11,9;0;0;4;01/9,7(13);9981A;21194
1;2016;91;61;883;4,3;6;3;0;0;5;0;22;0;0;0;5;0;3,2(04);6,6;45;1020,3;1030,1(24);1014,2;995,0(04);9;213;5;3;0;0;25,7(08);2,8(21);12,1;17,5;12,6;7,8;10,9;0;0;0;30/25,0(15);9981A;21263
2;2016;79;52;1215;6,7;4;6;0;0;9;0;19;0;0;0;14;0;12,8(26);21,4;63;1016,4;1030,9(04);1010,4;982,3(27);12;288;7;4;1;0;24,6(13);0,2(20);10,3;18,7;13,2;7,6;15,6;0;0;0;29/24,2(09);9981A;33029
3;2016;86;56;1314;6,8;7;3;5;0;10;0;21;1;0;0;16;2;22,0(14);44,1;57;1014,3;1018,1(01);1008,3;993,1(04);12;309;7;6;2;0;25,1(25);4,9(16);10,4;18,9;13,6;8,3;12,5;0;0;2;29/28,6(02);9981A;45968
4;2016;110;59;1283;8;7;8;3;0;10;0;15;1;0;0;8;2;28,6(05);71;60;1013,4;1017,6(30);1007,5;995,1(05);11;259;8;8;3;0;26,5(16);6,6(29);14;21,8;16;10,1;12,8;0;0;3;30/26,1(08);9981A;59982
5;2016;132;56;1528;8,7;6;5;1;0;13;0;20;3;0;2;8;0;21,8(09);40,6;60;1014,2;1018,1(01);1008,4;997,8(11);12;259;10;6;1;0;30,6(29);8,7(04);16,6;25;19,4;13,6;18,1;0;0;0;30/22,2(23);9981A;70152
6;2016;160;48;2062;10,9;2;6;0;0;5;0;22;3;0;23;3;0;0,8(06);2,4;72;1015,5;1019,9(18);1009,8;993,6(15);12;257;5;0;0;0;37,6(13);13,6(02);27,4;31,3;24,9;18,4;22,5;0;0;0;30/21,4(13);9981A;80347
7;2016;195;49;2360;11,9;0;15;0;0;3;0;16;2;0;31;1;0;3,0(11);3;81;1017,1;1017,9(15);1011,4;1005,8(22);12;252;1;1;0;0;37,5(31);16,7(17);30,4;34,2;27,4;20,6;23,4;0;0;0;32/15,8(13);9981A;84927
8;2016;200;53;2225;10,5;3;14;0;0;5;0;14;3;0;29;1;0;3,6(09);7;76;1018,2;1019,7(12);1012,5;1003,7(19);11;233;2;2;0;0;38,1(08);16,8(25);29,6;34,2;27,5;20,8;24;0;0;0;30/15,8(10);9981A;73218
9;2016;183;59;1605;8,3;2;6;1;0;6;0;22;2;0;15;3;0;13,8(23);33,4;67;1018;1024,0(28);1012,2;1003,6(14);10;210;6;4;1;0;41,4(05);12,3(15);22,8;31,2;24,8;18,3;23,6;0;0;1;29/18,1(14);9981A;51307
10;2016;163;69;873;5,5;6;2;3;0;9;0;23;0;0;3;0;0;5,2(12);15,6;50;1016,8;1026,0(28);1011;993,5(13);8;171;9;4;0;0;30,2(01);10,5(30);18,7;25,6;20,2;14,8;18,5;0;0;3;12/10,3(03);9981A;33741
11;2016;109;67;853;5;9;6;1;0;10;0;15;3;0;0;5;0;63,2(26);109,3;50;1015,9;1027,7(30);1009,9;994,6(23);9;210;10;6;2;1;24,8(02);4,4(16);11,8;19,2;14,5;9,8;14,2;0;0;0;32/20,6(09);9981A;23579
12;2016;99;79;406;5,7;5;10;2;0;6;0;16;0;0;0;0;0;8,8(03);25;61;1027,6;1032,7(28);1021,5;1007,8(20);11;250;6;5;0;0;19,0(23);1,3(29);7,8;14,4;10,3;6,2;12,2;0;0;1;30/13,6(20);9981A;22695
1;2017;72;61;979;5,2;7;9;2;0;8;0;15;2;1;0;8;0;33,8(20);76;54;1020,8;1025,5(07);1014,6;1002,9(10);12;269;7;6;2;1;20,8(12);-0,8(07);7,9;13,8;9,4;5;10;0;0;1;29/24,4(10);9981A;23909
2;2017;101;68;778;5,9;6;5;3;0;8;0;17;0;0;0;7;3;5,6(13);11,4;55;1018,7;1027,9(15);1012,7;1000,7(05);10;237;6;3;0;0;22,1(27);3,9(26);12,2;18,2;12,8;7,4;12,9;0;0;2;26/31,7(05);9981A;29609
3;2017;106;62;1104;8,6;3;7;4;0;9;0;21;2;0;1;6;0;14,8(03);43,4;72;1018,7;1023,9(14);1012,7;988,9(03);9;212;7;6;2;0;30,0(09);4,3(17);14,6;22,2;15,1;7,9;13,4;0;0;4;30/25,0(04);9981A;53425
4;2017;107;55;1373;9,9;3;12;1;0;6;0;15;0;0;1;4;0;7,6(26);13,2;75;1018,5;1023,5(21);1012,6;1000,0(26);11;237;5;3;0;0;31,6(14);4,2(21);16,3;23,9;16,6;9,3;14,1;0;0;1;30/23,1(02);9981A;66061
5;2017;145;54;1692;9,7;1;6;0;0;5;0;24;3;0;10;1;0;7,8(10);14,6;67;1016,4;1022,1(15);1010,6;993,1(11);11;226;3;2;0;0;33,5(25);7,7(02);21,5;28;21,2;14,4;19,2;0;0;0;30/18,9(18);9981A;78623
6;2017;193;54;1941;10,4;1;7;0;0;7;0;22;4;0;22;0;0;6,0(04);13;69;1015,3;1016,4(07);1009,6;997,0(28);11;242;5;3;0;0;38,1(17);13,5(06);23,3;32,5;26;19,5;22,8;0;0;0;29/15,0(29);9981A;78719
7;2017;217;57;1861;10,1;2;10;0;0;5;0;19;2;0;29;4;0;13,6(23);25,4;68;1015,5;1017,8(02);1009,8;1003,0(31);13;255;2;2;2;0;36,4(27);17,5(02);27,9;33,1;27,1;21;24,3;0;0;0;31/17,5(24);9981A;76989
8;2017;215;58;1791;8,9;4;8;0;0;9;0;19;2;0;29;1;0;6,6(31);12,6;65;1016,6;1016,9(10);1010,9;1003,4(08);11;243;5;2;0;0;40,7(03);16,3(12);29,1;33,3;27,3;21,3;25,5;0;0;0;28/15,6(10);9981A;65488
9;2017;159;56;1623;8,4;4;5;0;0;8;0;21;1;0;12;5;0;4,2(15);11,2;67;1017,2;1018,1(28);1011,4;998,6(09);10;235;5;3;0;0;34,5(11);12,0(15);21,1;29,6;23,4;17,2;21,6;0;0;0;30/20,0(10);9981A;52762
10;2017;157;64;1266;7,9;4;12;0;0;2;0;15;1;0;3;6;0;31,8(18);32;71;1021,5;1021,8(15);1015,6;1002,6(18);9;219;2;1;1;1;31,0(05);10,2(24);19,8;27,4;21,2;15;19,6;0;0;0;28/17,5(29);9981A;43107
11;2017;91;55;1205;7,4;1;13;1;0;1;0;16;1;0;0;12;2;8,4(04);8,4;75;1018,8;1024,8(27);1012,8;999,9(29);11;278;1;1;0;0;24,8(24);3,5(22);14;20;14,3;8,6;15,3;0;0;1;30/26,7(12);9981A;31403
12;2017;73;54;1102;5,5;1;10;0;0;6;0;20;0;0;0;12;2;1,0(11);1,9;60;1021,8;1031,1(05);1015,7;982,6(11);13;279;4;1;0;0;23,7(30);1,4(06);11;16,3;11;5,7;10,7;0;0;0;30/28,6(16);9981A;22600
1;2018;84;56;1250;6;2;6;1;0;6;0;23;0;0;0;14;2;4,2(06);6,7;62;1020,5;1031,9(28);1014,4;988,4(06);12;295;4;2;0;0;23,8(04);1,6(09);10,5;18,2;13,3;8,3;18,5;0;0;0;28/26,4(21);9981A;25859
2;2018;72;59;958;5,1;8;5;0;0;10;1;15;0;1;0;11;0;20,4(27);44,8;48;1012,9;1018,8(15);1006,9;990,8(28);12;294;7;5;1;0;23,7(15);0,0(09);5,6;14,8;10,3;5,7;11,4;0;0;0;30/23,3(03);9981A;26515
3;2018;83;54;1303;6,5;6;1;2;0;18;0;24;0;0;0;16;2;7,6(30);24,8;54;1006,2;1017,2(21);1000,3;981,5(01);13;284;12;6;0;0;29,2(28);4,9(22);12,9;19,6;13,9;8,1;12,5;0;0;0;28/27,8(20);9981A;39743
4;2018;115;59;1156;7,3;8;2;1;1;14;0;20;3;0;1;1;0;18,6(07);51,4;54;1013;1020,1(18);1007,1;984,2(11);10;210;9;7;2;0;31,2(25);6,2(10);14,2;23,4;17,1;10,8;16;0;0;2;10/15,6(07);9981A;
5;2018;139;57;1484;7,9;6;1;1;0;15;0;24;4;0;0;7;0;7,4(28);28,8;55;1014,3;1013,5(13);1008,4;1001,9(09);12;239;11;8;0;0;29,3(22);6,9(02);22;26,1;20;13,9;18,3;0;0;1;31/19,2(12);9981A;
6;2018;173;52;1966;10;3;6;0;0;9;0;21;5;0;18;3;0;2,4(03);8;66;1014,4;1016,0(19);1008,6;1002,6(10);11;230;7;3;0;0;36,5(22);15,3(07);25,2;31;24,9;18,8;21,5;0;0;0;29/19,2(12);9981A;74545
7;2018;222;56;1907;11,6;0;10;0;0;6;0;21;4;0;30;2;0;13,0(09);34,4;78;1014,3;1014,7(06);1008,6;1002,4(01);11;228;5;5;2;0;37,7(08);18,0(23);29,3;34,6;28,1;21,5;23,6;0;0;0;28/22,2(16);9981A;82474
8;2018;205;53;1997;10,1;1;9;0;1;5;0;21;4;0;31;2;0;36,9(09);53,7;73;1016;1018,1(10);1010,3;1004,5(07);12;245;4;3;2;1;42,3(04);17,9(19);30,4;35,2;28,5;21,8;26,8;0;0;0;35/18,6(25);9981A;69048
9;2018;203;65;1274;8,3;5;7;1;0;10;0;18;5;0;24;0;0;39,0(05);59,3;66;1018,9;1025,7(26);1013,1;1004,4(03);9;190;8;5;1;1;35,0(21);14,4(28);23,5;31,2;25,2;19;22,1;0;0;1;30/15,0(24);9981A;51573
10;2018;140;65;1058;7,1;5;6;0;0;11;0;20;4;0;2;4;0;85,9(19);230;64;1014,3;1021,2(23);1008,4;987,8(29);11;242;9;8;4;3;30,8(03);7,1(30);14,1;24,2;18,8;13,4;18,3;0;0;0;28/25,0(29);9981A;39354
11;2018;120;76;561;4,5;6;2;1;0;15;0;22;2;0;0;4;0;57,6(15);128,3;45;1014,9;1020,9(13);1008,9;993,8(20);8;182;15;10;3;1;23,8(11);4,5(29);12,8;18;13,7;9,3;14,3;0;0;0;28/22,8(26);9981A;
12;2018;97;68;745;6,5;2;6;0;0;4;0;23;0;0;0;7;0;6,4(13);7;70;1024,5;1025,7(23);1018,4;996,7(13);9;213;2;1;0;0;22,6(04);1,9(18);11,5;17,4;12,2;6,9;11,4;0;0;0;31/20,8(08);9981A;
1;2019;68;53;1242;6,9;2;10;0;0;6;0;19;1;0;0;14;2;3,6(29);4,6;72;1018;1027,5(04);1011,9;989,3(31);15;344;4;1;0;0;20,0(26);1,1(04);10,9;15,3;10,8;6,2;11,8;0;0;0;28/27,5(23);9981A;28117
2;2019;85;62;857;8,9;0;15;1;1;1;0;13;1;1;0;4;1;3,6(01);3,8;83;1024,3;1029,8(14);1018,2;983,6(01);10;220;2;1;0;0;27,2(27);-0,1(17);11,5;19,4;12,1;4,7;10,2;0;0;1;30/30,0(02);9981A;37888
3;2019;81;49;1445;9,4;3;8;2;0;2;0;20;0;0;0;8;0;4,2(31);4,6;79;1022,4;1025,2(09);1016,4;998,7(06);10;241;2;1;0;0;28,6(10);4,4(12);15,4;22,6;15,3;8;15,7;0;0;2;30/24,2(13);9981A;57300
4;2019;102;55;1309;6,9;9;2;1;0;13;0;19;2;0;0;6;0;6,2(20);17,7;52;1012,7;1020,0(27);1006,8;990,4(23);11;246;10;5;0;0;28,9(14);6,3(04);15,8;21,9;16,2;10,4;14,7;0;0;0;22/17,5(06);9981A;53876
5;2019;112;47;1921;9,5;4;6;0;0;10;0;21;0;0;0;8;0;19,4(24);31,6;66;1014,8;1019,4(30);1009;994,9(17);13;285;5;3;1;0;29,6(10);10,3(06);16,9;25,8;19,6;13,3;16,3;0;0;0;28/19,2(05);9981A;74829
6;2019;151;47;2071;10,8;2;10;0;0;4;0;18;0;0;19;1;0;1,4(05);1,4;71;1015,1;1017,9(08);1009,4;1000,2(05);11;242;1;1;0;0;42,4(29);12,3(12);19,9;30,8;24;17,1;22,5;0;0;0;30/20,6(05);9981A;78919
7;2019;199;49;2212;11,3;2;15;0;0;6;0;14;6;0;30;6;0;23,2(08);25,8;77;1013,7;1016,1(22);1008;996,8(27);12;252;6;2;1;0;39,8(07);16,7(09);29,6;35,1;28,3;21,5;23,4;0;0;0;29/24,2(27);9981A;78674
8;2019;213;57;1790;9,9;3;12;0;0;6;0;16;2;0;29;0;0;16,8(27);49,4;72;1015,5;1016,1(20);1009,8;1003,2(07);10;212;6;5;3;0;39,2(09);17,9(28);24,9;34;27,5;21;25,3;0;0;0;29/12,2(13);9981A;68966
9;2019;179;59;1412;8,6;4;5;0;0;9;0;21;2;0;23;3;0;15,0(13);37,8;69;1017,7;1024,2(13);1012;1002,0(10);10;213;8;4;2;0;33,9(17);13,9(11);24;30,8;24,4;18;22,5;0;0;0;29/17,5(05);9981A;54503
10;2019;151;64;1131;7,3;4;6;1;0;4;0;21;1;0;4;5;0;78,6(22);82,8;66;1016;1017,3(10);1010,1;997,2(22);9;211;4;3;1;1;30,7(01);10,7(26);15,3;26,2;20,5;14,7;21,3;0;0;0;32/19,7(15);9981A;40267
11;2019;96;58;1119;5,8;0;3;0;0;9;0;27;1;0;0;13;2;4,0(13);11,2;58;1009;1015,3(30);1003,1;984,0(23);12;283;7;4;0;0;28,3(02);2,6(20);12,3;19;14,4;9,8;17,1;0;0;0;33/28,3(23);9981A;26497
12;2019;99;67;845;4,9;8;6;0;0;9;0;17;0;0;0;9;4;31,4(04);48,8;53;1018,2;1029,3(30);1012,2;990,9(21);11;263;7;4;1;1;23,3(24);2,8(28);9,9;17,1;12,8;8,3;17,4;0;0;0;30/30,0(13);9981A;20063
1;2020;88;73;474;5,7;6;7;1;2;4;0;18;2;2;0;2;0;137,2(21);241,2;60;1025,5;1028,7(01);1019,3;1011,5(21);9;197;6;5;4;2;22,8(31);-0,9(13);7,2;15,3;9,8;4,3;10,3;0;0;2;10/21,7(21);9981A;23559
2;2020;106;65;886;7,6;5;7;1;0;1;0;17;0;0;0;3;0;0,4(12);0,4;71;1024,8;1028,6(23);1018,7;1002,5(29);8;192;1;0;0;0;25,6(03);2,3(06);15,6;21,1;14,6;8,2;14,5;0;0;1;35/21,1(04);9981A;35256
3;2020;102;65;1027;5,9;12;1;1;0;12;0;18;1;0;0;11;1;13,6(31);55,4;50;1016,8;1024,0(17);1010,8;988,5(02);11;248;11;8;1;0;26,0(11);5,1(31);8,4;19;14,2;9,3;13,4;0;0;1;29/25,6(06);9981A;39355
4;2020;137;74;716;5,5;15;1;0;0;14;0;14;1;0;0;1;0;41,6(01);108,2;41;1015,8;1021,2(07);1009,9;997,7(21);8;186;12;9;5;1;25,9(30);4,9(04);11,4;21,6;16,2;10,9;15,2;0;0;0;07/15,3(01);9981A;47301
5;2020;167;61;1241;9,1;5;6;0;0;9;0;20;3;0;9;2;0;23,4(10);69,4;63;1016,3;1022,9(24);1010,5;996,3(10);10;207;9;7;3;0;32,7(22);12,8(11);17,6;27,8;21,7;15,7;19,3;0;0;0;28/16,4(01);9981A;71581
6;2020;186;62;1287;8,9;3;4;1;1;5;0;23;5;0;10;3;0;40,0(03);80,8;59;1014,1;1016,1(22);1008,3;995,3(12);11;224;6;4;2;2;33,6(22);13,4(14);23,6;28,9;23,2;17,5;22,6;0;0;0;29/18,9(04);9981A;71322
7;2020;208;53;2069;11,4;0;14;0;0;2;0;17;2;0;31;0;0;1,8(02);1,8;77;1015,8;1015,9(04);1010,2;1003,9(01);11;224;1;1;0;0;38,1(23);18,5(05);31,5;34,4;27,7;21,1;24,7;0;0;0;28/11,9(15);9981A;82025
8;2020;213;54;2051;10,3;0;9;0;0;5;0;22;3;0;29;5;0;4,0(12);4,8;75;1013,5;1015,0(23);1007,8;996,9(28);11;228;4;1;0;0;38,2(01);16,8(31);28,3;34,6;28;21,4;24;0;0;0;34/20,3(12);9981A;71149
9;2020;166;56;1707;8,6;2;8;0;0;4;0;20;2;0;20;5;1;4,0(24);8,4;69;1016,7;1019,1(04);1010,9;998,7(27);10;229;4;2;0;0;35,9(13);12,7(30);23,2;30,9;24,1;17,4;21,1;0;0;0;32/27,5(27);9981A;53722
10;2020;118;55;1444;7,8;2;6;0;0;2;0;23;0;0;1;8;0;4,8(02);5,6;71;1016,3;1020,9(29);1010,4;984,9(02);11;247;2;1;0;0;31,4(01);7,3(18);17,8;24,7;18,7;12,8;18,3;0;0;0;30/21,4(14);9981A;41181
11;2020;131;77;512;5,7;7;7;2;1;7;0;16;3;0;0;5;0;98,4(05);156,6;58;1022,4;1024,6(21);1016,4;998,5(28);8;178;8;6;2;2;28,0(01);3,2(22);14;20,2;15;9,7;16,3;0;0;0;30/21,7(20);9981A;24708
12;2020;85;63;942;5,7;2;3;1;1;8;0;26;1;0;0;12;1;4,4(11);13,8;61;1013,2;1022,7(21);1007,2;985,6(28);12;275;8;4;0;0;19,1(13);1,6(27);11,6;15,5;11,2;7;13,5;0;0;1;30/28,9(25);9981A;22144
